player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Dwayne Bacon,bacondw01,2021,3230,1550,-2.657946362843443,-2.203302438499537,-4.861248801342979,-2.927097564896746,-1.01441977717209,-3.941517342068836,-2.783805802442472,-2.059504704956757,-4.843310507399229,-1.644657338452176,-1.644657338452176,0,-3.387874081255403,-2.130743716097742,-5.518617797353144,-.6554473852579223
Marvin Bagley III,baglema01,2021,2013,951,-2.379842671494573,-.5592806327855959,-2.939123304280169,.2188394093579547,-3.951422639895465,-3.73258323053751,-2.031447287951373,-1.213921224772297,-3.245368512723669,-.240662983906516,-.240662983906516,0,-2.023637542014252,-1.585266138651306,-3.608903680665558,.1301726839067526
LaMelo Ball,ballla01,2021,2526,1174,2.601695941861852,-.5078060941905926,2.09388984767126,-.1155779945773415,-2.609688066703728,-2.72526606128107,2.231746041247025,-.9799602632933746,1.251785777953651,2.447807531987475,2.447807531987475,0,2.819755386112524,-.3669820657859555,2.452773320326569,2.140050606499794
Lonzo Ball,balllo01,2021,3051,1469,1.57508783440557,-.1067986939797816,1.468289140425789,3.91020771418522,-.3875473629305481,3.522660351254672,2.12704153297115,-.1416042828318809,1.985437250139269,3.556854261036587,3.556854261036587,0,2.413706129763137,.5442217350869324,2.95792786485007,.2194974746210763
Mo Bamba,bambamo01,2021,1047,501,-.9721238361429367,-.4103302643833558,-1.382454100526292,.2743863826956738,-3.472773721871686,-3.198387339176012,-.6545309787520973,-.9925927314231635,-1.647123710175261,.2825759803521183,.2825759803521183,0,-.3170858859462443,-1.280080573545722,-1.597166459491966,.2396464105299609
Desmond Bane,banede01,2021,2623,1234,.0671865747477727,-1.797506940575355,-1.730320365827582,.117317932325688,.5081680549102993,.6254859872359873,.081289847053067,-1.441470942822748,-1.360181095769681,.8706579482730306,.8706579482730306,0,.264408177112418,-1.466351218691239,-1.201943041578821,-.5020367677494723
Harrison Barnes,barneha02,2021,4430,2102,.8802153189265697,-.3063845188267912,.5738308000997785,3.437081246749935,2.091243079815202,5.528324326565137,1.469717816665245,.2315051470037859,1.701222963669031,4.750498142602563,4.750498142602563,0,1.434068971879179,-.3348699470413912,1.099199024837788,-.4898074576957411
RJ Barrett,barrerj01,2021,4357,2143,-.4055391177822502,-.6720985407542923,-1.077637658536542,1.110279573587195,-.2098834069300148,.90039616665718,-.1015874845767905,-.6513630478010509,-.7529505323778414,2.191604643542729,2.191604643542729,0,-.6574959055834393,-.4512382947003841,-1.108734200283823,.374925743293203
Will Barton,bartowi01,2021,3527,1736,-.7985901655901849,-1.443212729921889,-2.241802895512075,2.684545421944938,-2.425539193200221,.2590062287447159,-.18941464284943,-1.73808056825811,-1.92749521110754,.7260227927594528,.7260227927594528,0,-.0747695852861125,-1.790782528748012,-1.865552114034124,-.3428842530863334
Keita Bates-Diop,bateske01,2021,321,151,-.0549393304874226,2.046236770582537,1.991297440095114,-10.5676343953789,-1.201524669701493,-11.76915906508039,-2.247148743200839,1.477290681535455,-.7698580616653843,.1513783090647224,.1513783090647224,0,-2.170765848328535,.2282665422494901,-1.942499306079045,-.7753327576635424
Nicolas Batum,batumni01,2021,3417,1663,-.1267802651551674,2.632908774951667,2.5061285097965,1.471551619326313,2.540973269100461,4.012524888426774,.1575794864216684,2.75851709188198,2.916096578303648,4.794669679098384,4.794669679098384,0,.3328517102005699,2.652525307115085,2.985377017315655,-.2686775091171837
Aron Baynes,baynear01,2021,1920,912,-5.402167975207953,1.103999387244526,-4.298168587963427,-3.978765127483161,-2.582060771777569,-6.56082589926073,-5.456727325791188,.3962243453511299,-5.060502980440058,-1.073818571707997,-1.073818571707997,0,-5.648767036663644,.208135376403916,-5.440631660259728,-.1186317167017551
Kent Bazemore,bazemke01,2021,2233,1032,-2.146545487828659,1.672330397011067,-.4742150908175911,1.096746281995902,5.126159039781088,6.222905321776991,-1.587533694955395,2.465221085361253,.8776873904058577,1.918054222326267,1.918054222326267,0,-1.750015094317419,2.53233914874712,.7823240544297008,.4216008977603498
