Rank,Player,18/19,18/19*
141,Josh Richardson,9367200.00,9583101.00
143,Markieff Morris,9173294.00,9384725.00
144,Bogdan Bogdanovic,9000000.00,9207437.00
144,Rajon Rondo,9000000.00,9207437.00
146,E'Twaun Moore,8808685.00,9011713.00
147,Kosta Koufos,8739500.00,8940933.00
148,Fred VanVleet,8653847.00,8853306.00
149,Wayne Ellington,8653076.00,8852516.00
150,Julius Randle,8641000.00,8840163.00
150,Kyle Anderson,8641000.00,8840163.00
152,Jerryd Bayless,8575916.00,8773579.00
153,Cristiano Felicio,8470980.00,8666224.00
154,Markelle Fultz,8339880.00,8532102.00
155,Jerami Grant,8333333.00,8525404.00
155,CJ Miles,8333333.00,8525404.00
155,Joe Harris,8333333.00,8525404.00
158,Shaun Livingston,8307692.00,8499172.00
159,Deandre Ayton,8175840.00,8364281.00
160,JaMychal Green,8066667.00,8252592.00
161,Garrett Temple,8000000.00,8184389.00
161,Louis Williams,8000000.00,8184389.00
163,PJ Tucker,7959537.00,8142993.00
164,Cory Joseph,7945000.00,8128121.00
165,Karl-Anthony Towns,7839435.00,8020123.00
166,Kyle Korver,7560000.00,7734247.00
167,Darrell Arthur,7464912.00,7636967.00
168,Lonzo Ball,7461960.00,7633947.00
169,Doug McDermott,7333334.00,7502357.00
170,Marvin Bagley,7314960.00,7483559.00
171,Jae Crowder,7305825.00,7474214.00
172,DJ Augustin,7250000.00,7417102.00
173,Lance Thomas,7119650.00,7283748.00
174,D'Angelo Russell,7019698.00,7181492.00
175,Davis Bertans,7000000.00,7161340.00
175,Ersan Ilyasova,7000000.00,7161340.00
175,Langston Galloway,7000000.00,7161340.00
175,Jeremy Lamb,7000000.00,7161340.00
179,Al-Farouq Aminu,6957105.00,7117456.00
180,Jayson Tatum,6700800.00,6855244.00
181,Luka Doncic,6569040.00,6720447.00
182,Nemanja Bjelica,6500000.00,6649816.00
182,Mario Hezonja,6500000.00,6649816.00
184,Ben Simmons,6434520.00,6582826.00
185,Milos Teodosic,6300000.00,6445206.00
185,Dewayne Dedmon,6300000.00,6445206.00
187,Marco Belinelli,6153846.00,6295683.00
188,Wesley Johnson,6134000.00,6275380.00
189,Josh Jackson,6041520.00,6180768.00
190,Jonathon Simmons,6000000.00,6138291.00
190,Montrezl Harrell,6000000.00,6138291.00
190,Ishmael Smith,6000000.00,6138291.00
193,Jaren Jackson,5922720.00,6059230.00
194,Brandon Ingram,5757120.00,5889813.00
195,Anthony Tolliver,5750000.00,5882529.00
196,Kristaps Porzingis,5697054.00,5828363.00
197,Deron Williams,5474787.00,5600973.00
198,De'Aaron Fox,5470920.00,5597017.00
199,Ben McLemore,5460000.00,5585845.00
200,Patrick Patterson,5451600.00,5577251.00
201,Jason Smith,5450000.00,5575615.00
202,Marcus Morris,5375000.00,5498886.00
203,Trae Young,5363280.00,5486896.00
204,DeMarcus Cousins,5337000.00,5460010.00
205,Josh Smith,5331729.00,5454618.00
206,Alexis Ajinca,5285394.00,5407215.00
207,Thabo Sefolosha,5250000.00,5371005.00
208,Aron Baynes,5193600.00,5313305.00
209,Jaylen Brown,5169960.00,5289120.00
210,Patrick Beverley,5027028.00,5142894.00
211,Mike Muscala,5000000.00,5115243.00
211,Dirk Nowitzki,5000000.00,5115243.00
211,Tony Parker,5000000.00,5115243.00
214,Jonathan Isaac,4969080.00,5083610.00
215,Mo Bamba,4871280.00,4983556.00
216,Jamal Crawford,4698113.00,4806397.00
217,Ron Baker,4697823.00,4806100.00
218,Willie Cauley-Stein,4696874.00,4805130.00
219,Dragan Bender,4661280.00,4768716.00
220,Lauri Markkanen,4536120.00,4640671.00
221,Justin Holiday,4500000.00,4603718.00
222,Lance Stephenson,4449000.00,4551543.00
222,Kyle O'Quinn,4449000.00,4551543.00
222,Ed Davis,4449000.00,4551543.00
225,Wendell Carter,4446840.00,4549333.00
226,Alex Len,4350000.00,4450261.00
227,Mike Scott,4320500.00,4420081.00
227,Luc Mbah a Moute,4320500.00,4420081.00
229,Emmanuel Mudiay,4294479.00,4393460.00
230,Kris Dunn,4221000.00,4318288.00
231,Frank Ntilikina,4155720.00,4251503.00
232,Glenn Robinson III,4075000.00,4168923.00
233,Collin Sexton,4073760.00,4167654.00
234,Al Jefferson,4000000.00,4092194.00
235,Stanley Johnson,3940401.00,4031221.00
236,Buddy Hield,3833760.00,3922122.00
237,Dennis Smith,3819960.00,3908004.00
238,Jodie Meeks,3774176.00,3861165.00
239,Kevin Knox,3744840.00,3831153.00
240,Jose Juan Barea,3710850.00,3796379.00
241,Alex Abrines,3667645.00,3752179.00
242,Nenê,3651480.00,3735641.00
243,Zach Collins,3628920.00,3712561.00
244,Frank Kaminsky,3627842.00,3711458.00
245,Mikal Bridges,3557400.00,3639393.00
246,Michael Beasley,3500000.00,3580670.00
247,Jamal Murray,3499800.00,3580465.00
248,Rodney Hood,3472887.00,3552932.00
249,Justise Winslow,3448926.00,3528419.00
250,Malik Monk,3447480.00,3526939.00
251,Cameron Payne,3440356.00,3519651.00
252,Allonzo Trier,3382000.00,3459950.00
252,Brook Lopez,3382000.00,3459950.00
254,Shai Gilgeous-Alexander,3375360.00,3453157.00
255,Trey Lyles,3364249.00,3441790.00
256,Ekpe Udoh,3360000.00,3437443.00
257,Devin Booker,3314365.00,3390756.00
258,Myles Turner,3294994.00,3370939.00
259,Luke Kennard,3275280.00,3350770.00
260,Troy Daniels,3258539.00,3333643.00
261,Kelly Oubre,3208630.00,3282584.00
262,Miles Bridges,3206640.00,3280548.00
263,Marquese Chriss,3206160.00,3280057.00
264,Tomas Satoransky,3129187.00,3201310.00
265,Bryn Forbes,3125000.00,3197026.00
266,Donovan Mitchell,3111480.00,3183195.00
267,Terry Rozier,3050389.00,3120696.00
268,Jerome Robinson,3050160.00,3120461.00
269,Yogi Ferrell,3000000.00,3069145.00
269,Elfrid Payton,3000000.00,3069145.00
271,Bam Adebayo,2955840.00,3023968.00
272,Jakob Poeltl,2947320.00,3015251.00
273,Michael Porter,2894160.00,2960866.00
274,Andrew Nicholson,2844429.00,2909989.00
275,Justin Jackson,2807880.00,2872597.00
276,Thon Maker,2799720.00,2864249.00
277,Seth Curry,2795000.00,2859420.00
278,Cedi Osman,2775000.00,2838959.00
279,Sam Dekker,2760094.00,2823710.00
280,Troy Brown,2752680.00,2816125.00
281,Justin Patton,2667600.00,2729084.00
281,Guerschon Yabusele,2667600.00,2729084.00
283,Domantas Sabonis,2659800.00,2721104.00
284,Jerian Grant,2639313.00,2700145.00
285,Zhaire Smith,2615160.00,2675435.00
286,Corey Brewer,2559925.00,2618927.00
287,Delon Wright,2536898.00,2595370.00
288,DJ Wilson,2534280.00,2592691.00
289,Dario Saric,2526840.00,2585080.00
289,Taurean Prince,2526840.00,2585080.00
291,Justin Anderson,2516047.00,2574038.00
292,Shelvin Mack,2512601.00,2570512.00
293,Manu Ginobili,2500000.00,2557621.00
293,Reggie Bullock,2500000.00,2557621.00
295,Bobby Portis,2494346.00,2551837.00
296,Dante Cunningham,2487000.00,2544321.00
297,Donte DiVincenzo,2484360.00,2541621.00
298,Rondae Hollis-Jefferson,2470356.00,2527294.00
299,Tyus Jones,2444052.00,2500384.00
300,Jarell Martin,2416221.00,2471911.00
301,Greg Monroe,2410167.00,2465716.00
302,TJ Leaf,2407560.00,2463050.00
303,Georgios Papagiannis,2400480.00,2455807.00
304,Jeff Green,2393887.00,2449062.00
304,Amir Johnson,2393887.00,2449062.00
304,Raymond Felton,2393887.00,2449062.00
304,Dwyane Wade,2393887.00,2449062.00
304,Udonis Haslem,2393887.00,2449062.00
304,JaVale McGee,2393887.00,2449062.00
304,Zaza Pachulia,2393887.00,2449062.00
304,Jose Calderon,2393887.00,2449062.00
304,Devin Harris,2393887.00,2449062.00
304,Channing Frye,2393887.00,2449062.00
304,Carmelo Anthony,2393887.00,2449062.00
304,Vince Carter,2393887.00,2449062.00
316,Lonnie Walker,2360160.00,2414558.00
317,John Collins,2299080.00,2352070.00
318,Denzel Valentine,2280600.00,2333164.00
319,Larry Nance Jr,2272390.00,2324765.00
320,Kevin Huerter,2250960.00,2302841.00
321,Monta Ellis,2245400.00,2297153.00
322,Harry Giles,2207040.00,2257909.00
